t,angle,u
0.74,32.72582070792604,-77.10921372387659
0.75,33.52302592900725,-79.01341532693424
0.76,34.33950814881077,-80.96367487442394
0.77,35.17573233588399,-82.96110684199824
0.78,36.03217511128669,-85.00685355052106
0.79,36.909325040424996,-87.10208586017765
0.8,37.807682931758045,-89.24800388101247
0.81,38.72776214253941,-91.44583770028478
0.82,39.67008889175963,-93.6968481270434
0.83,40.63520258046045,-96.0023274543312
0.84,41.62365611959588,-98.36360023944108
0.85,42.63601626561984,-100.78202410265602
0.86,43.67286396398466,-103.25899054491735
0.87,44.73479470073976,-105.79592578487556
0.88,45.822418862424534,-108.39429161579226
0.89,46.936362104454695,-111.05558628277062
0.9,48.07726572820651,-113.7813453808071
0.91,49.245787067008585,-116.57314277416835
0.92,50.442599881256335,-119.43259153761008
0.93,51.66839476286999,-122.36134491996863
0.94,52.923879549322535,-125.36109733066931
0.95,54.20977974747004,-128.43358534970997
0.96,55.5268389674226,-131.58058876169187
0.97,56.87581936670063,-134.8039316144847
0.98,58.25750210492721,-138.105483303129
0.99,59.67268780931391,-141.48715967959225
1.0,61.12219705120405,-144.95092418901342
1.01,62.60687083394411,-148.49878903308405
1.02,64.12757109236115,-152.13281636123315
1.03,65.68518120413096,-155.85511949029888
1.04,67.28060651332918,-159.66786415338674
1.05,68.91477486646511,-163.573269778634
1.06,70.5886371613054,-167.57361079861533
1.07,72.30316790880289,-171.671217991146
1.08,74.05936580845382,-175.868479852257
1.09,75.85825433741478,-180.1678440021355
1.1,77.70088235371948,-184.57181862484478
1.11,79.58832471394362,-189.08297394266023
1.12,81.5216829056755,-193.70394372587262
1.13,83.50208569515858,-198.4374268389422
1.14,85.5306897904819,-203.2861888238961
1.15,87.60868052070349,-208.25306352189753
1.16,89.73727253130174,-213.3409547339269
1.17,91.9177104963597,-218.5528379215466
1.18,94.15126984789732,-223.8917619487414
1.19,96.43925752277732,-229.36085086585274
1.2,98.7830127276209,-234.9633057366504
1.21,101.18390772218048,-240.7024065096114
1.22,103.64334862162801,-246.58151393450152
1.23,106.16277621822861,-252.6040715253842
1.24,108.7436668228814,-258.7736075712073
1.25,111.38753312702102,-265.09373719514906
1.26,114.09592508538611,-271.5681644639318
1.27,116.87043082017324,-278.2006845483437
1.28,119.71267754710787,-284.99518593623907
1.29,122.6243325239773,-291.95565269931893
1.3,125.6071040221838,-299.08616681502565
1.31,128.66274232189025,-306.3909105449203
1.32,131.79304073134466,-313.87416887094207
1.33,134.9998366309845,-321.5403319909873
1.34,138.28501254293684,-329.39389787527625
1.35,141.65049722654516,-337.4394748850205
1.36,145.0982668005698,-345.68178445492964
1.37,148.63034589272442,-354.1256638411451
1.38,152.2488088172277,-362.7760689362177
1.39,155.95578078106615,-371.63807715279717
1.4,159.7534391196805,-380.71689037773086
1.41,163.64401456280692,-390.01783799831713
1.42,167.6297925312207,-399.5463800025045
1.43,171.7131144651499,-409.30811015486177
1.44,175.89637918514464,-419.3087592502005
1.45,180.1820442862064,-429.55419844677067
1.46,184.5726275660032,-440.0504426809957
1.47,189.07070848801487,-450.8036541657696
1.48,193.6789296804744,-461.8201459743817
1.49,198.39999847199255,-473.1063857121817
1.5,203.23668846477418,-484.6689992781642
1.51,208.19184114635738,-496.5147747186861
1.52,213.2683675408291,-508.65066617560007
1.53,218.4692499004944,-521.083797931133
1.54,223.79754343900026,-533.8214685519015
1.55,229.25637810693945,-546.8711551345142
1.56,234.84896041098477,-560.2405176552604
1.57,240.57857527763005,-573.9374034264673
1.58,246.44858796264023,-587.9698516621456
1.59,252.46244600733974,-602.3460981556282
1.6,258.62368124289634,-617.0745800719571
1.61,264.93591184378533,-632.1639408578558
1.62,271.4028444316482,-647.6230352721766
1.63,278.02827623078934,-663.4609345397992
1.64,284.81609727658486,-679.6869316320184
1.65,291.7702926781083,-696.3105466765359
1.66,298.8949449363104,-713.3415325002529
1.67,306.1942363191216,-730.789880308125
1.68,313.67245129488094,-748.6658255014339
1.69,321.3339790255273,-766.9798536389084
1.7,329.18331592102555,-785.742706544199
1.71,337.225068256535,-804.9653885633196
1.72,345.46395485386455,-824.6591729757331
1.73,353.9048098287969,-844.8356085628626
1.74,362.55258540590165,-865.5065263378991
1.75,371.4123548024984,-886.6840464408624
1.76,380.489315183469,-908.3805852029881
1.77,389.7887906886616,-930.6088623845853
1.78,399.31623553467045,-953.381908590634
1.79,409.0772371928188,-976.7130728684873
1.8,419.0775196452173,-1000.6160304921433
1.81,429.3229467208155,-1025.1047909376675
1.82,439.8195255134103,-1050.1937060544649
1.83,450.5734098836247,-1075.8974784371885
1.84,461.590904046916,-1102.2311700032308
1.85,472.8784662497268,-1129.210210780817
1.86,484.44271253593996,-1156.8504079128816
1.87,496.29042060585374,-1185.167954882012
1.88,508.42853376994566,-1214.179440961875
1.89,520.8641649997501,-1243.9018609006898
1.9,533.6046010782305,-1274.3526248424223
1.91,546.6573068520855,-1305.5495684915347
1.92,560.0299295884864,-1337.5109635272506
1.93,573.730303438807,-1370.2555282734538
1.94,587.7664540119661,-1403.8024386304862
1.95,602.1466030600682,-1438.1713392752483
1.96,616.8791732790944,-1473.3823551361838
1.97,631.97279322746,-1509.456103149873
1.98,647.436302365326,-1546.4137043061348
1.99,663.2787562176222,-1584.276795988698
2.0,679.509431663809,-1623.0675446186804
2.01,696.1378323574826,-1662.8086586082784
2.02,713.1736942790006,-1703.5234016322813
2.03,730.6269914243854,-1745.2356062251572
2.04,748.5079416338383,-1787.969687711716
2.05,766.8270125632835,-1831.7506584794717
2.06,785.5949278024403,-1876.6041426011013
2.07,804.8226731430098,-1922.5563908155445
2.08,824.5215030006466,-1969.6342958765238
2.09,844.7029469944817,-2017.865408277475
2.1,865.3788166880465,-2067.277952362101
2.11,886.5612124955486,-2117.9008428299667
2.12,908.2625307575437,-2169.7637016468216
2.13,930.4954709901453,-2222.89687536953
2.14,953.2730433120184,-2277.33145289575
2.15,976.6085760535035,-2333.09928364877
2.16,1000.5157235523258,-2390.2329962081276
2.17,1025.0084741404523,-2448.7660173969057
2.18,1050.1011583267712,-2508.7325918369042
2.19,1075.8084571803806,-2570.167801983098
2.2,1102.1454109193949,-2633.1075886491253
2.21,1129.1274277102893,-2697.5887720357982
2.22,1156.7702926829363,-2763.649073274941
2.23,1185.0901771666013,-2831.3271365011747
2.24,1214.1036481523058,-2900.6625514645175
2.25,1243.8276779870885,-2971.6958766970843
2.26,1274.2796543058364,-3044.468663247366
2.27,1305.477390206493,-3119.0234789960437
2.28,1337.4391346745956,-3195.4039335674765
2.29,1370.1835832632346,-3273.6547038515137
2.3,1403.729889034683,-3353.821560150472
2.31,1438.0976737700921,-3435.9513929666377
2.32,1473.3070394538063,-3520.0922404459116
2.33,1509.3785800390128,-3606.2933164936603
2.34,1546.3333935016053,-3694.6050395791926
2.35,1584.1930941893047,-3785.079062245745
2.36,1622.979825473261,-3877.7683013431592
2.37,1662.7162727095279,-3972.726969001006
