t,theta,u
3.2600000000000002,0.0025881441252242347,-0.016456061100496047
3.27,0.002566287124993715,-0.016636336289053564
3.2800000000000002,0.002545305460521135,-0.016807761153289705
3.29,0.002525160547602845,-0.016970727534944496
3.3000000000000003,0.0025058155065878314,-0.017125609968091874
3.31,0.002487235087073207,-0.017272766443080463
3.3200000000000003,0.0024693855959262378,-0.017412539136829393
3.33,0.002452234828486004,-0.017545255110949967
3.34,0.0024357520028042787,-0.017671226979101506
3.35,0.0024199076967913883,-0.017790753544928754
3.36,0.002404673788138756,-0.017904120411871137
3.37,0.002390023396895489,-0.01801160056607786
3.38,0.0023759308305817783,-0.018113454933610634
3.39,0.002362371531727061,-0.018209932913063363
3.4,0.002349322027725838,-0.018301272884680034
3.41,0.0023367598829087716,-0.018387702697004786
3.42,0.0023246636527312035,-0.01846944013205297
3.43,0.002313012839985564,-0.018546693349949
3.44,0.0023017878529482585,-0.01861966131393556
3.45,0.0022909699653755854,-0.018688534196618912
3.46,0.0022805412782669924,-0.018753493768277476
3.47,0.0022704846833176053,-0.018814713768024384
3.48,0.0022607838279853957,-0.01887236025858016
3.49,0.0022514230821016625,-0.018926591965378364
3.5,0.0022423875059566453,-0.01897756060069544
3.5100000000000002,0.0022336628197951003,-0.019025411173465363
3.52,0.002225235374659552,-0.01907028228541104
3.5300000000000002,0.0022170921245216815,-0.019112306414096013
3.54,0.0022092205996449427,-0.019151610183474256
3.5500000000000003,0.002201608881124012,-0.019188314622489315
3.56,0.0021942455765490846,-0.019222535412251114
3.5700000000000003,0.002187119796745314,-0.01925438312229406
3.58,0.002180221133539909,-0.019283963436398925
3.59,0.0021735396385114715,-0.01931137736843938
3.6,0.0021670658026781927,-0.019336721468693516
3.61,0.0021607905370834243,-0.019360088021041347
3.62,0.002154705154238979,-0.01938156523145104
3.63,0.0021488013503882675,-0.019401237408138636
3.64,0.0021430711885530506,-0.019419185133768658
3.65,0.0021375070823291876,-0.01943548543004759
3.66,0.0021321017803982902,-0.019450211915045982
3.67,0.0021268483517236534,-0.019463434953570363
3.68,0.0021217401714002304,-0.019475221800892072
3.69,0.002116770907129759,-0.01948563674012623
3.7,0.0021119345062934184,-0.019494741213541916
3.71,0.0021072251835956178,-0.01950259394807075
3.72,0.002102637409253684,-0.019509251075271003
3.73,0.0020981658977093304,-0.01951476624599169
3.74,0.0020938055968388555,-0.019519190739970844
3.75,0.0020895516776400364,-0.019522573570591943
3.7600000000000002,0.002085399524374657,-0.01952496158501209
3.77,0.0020813447251465415,-0.019526399559866858
3.7800000000000002,0.0020773830628958508,-0.019526930292746738
3.79,0.002073510506791254,-0.019526594689632065
3.8000000000000003,0.002069723204002395,-0.01952543184846548
3.81,0.002066017471835852,-0.019523479139031966
3.8200000000000003,0.0020623897902185316,-0.019520772279309595
3.83,0.0020588367945131515,-0.019517345408447538
3.84,0.002055355268651131,-0.019513231156519657
3.85,0.0020519421385688757,-0.019508460711196312
3.86,0.002048594465934048,-0.019503063881470925
3.87,0.0020453094421490087,-0.019497069158570725
3.88,0.0020420843826191937,-0.01949050377417673
3.89,0.0020389167212747092,-0.01948339375607146
3.9,0.002035804005333967,-0.019475763981328255
3.91,0.002032743890298663,-0.019467638227150436
3.92,0.002029734135169876,-0.019459039219464555
3.93,0.002026772597875526,-0.019449988679366828
3.94,0.002023857230899841,-0.019440507367517464
3.95,0.00202098607710592,-0.019430615126573725
3.96,0.0020181572657428544,-0.01942033092174818
3.97,0.002015369008629255,-0.019409672879575155
3.98,0.0020126195965053913,-0.01939865832496459
3.99,0.0020099073955464966,-0.01938730381661856
4.0,0.002007230844030112,-0.019375625180883357
4.01,0.00200458844915067,-0.019363637544105916
4.0200000000000005,0.002001978783974811,-0.01935135536356063
4.03,0.0019994004845312126,-0.019338792457009906
4.04,0.0019968522470289927,-0.019325962030958658
4.05,0.001994332825199002,-0.019312876707660697
4.0600000000000005,0.001991841027752581,-0.019299548550931616
4.07,0.0019893757159525865,-0.019285989090821663
4.08,0.0019869358012917352,-0.019272209347198237
4.09,0.0019845202432735138,-0.019258219852286738
4.1,0.0019821280472911307,-0.019244030672215418
4.11,0.0019797582626001776,-0.01922965142760834
4.12,0.001977409980380856,-0.01921509131326874
4.13,0.0019750823318858187,-0.01920035911699253
4.14,0.0019727744866698356,-0.019185463237550774
4.15,0.0019704856508976775,-0.01917041170187764
4.16,0.0019682150657267545,-0.019155212181499053
4.17,0.001965962005761212,-0.019139872008235272
4.18,0.0019637257775743243,-0.019124398189210214
4.19,0.0019615057182961674,-0.019108797421197088
4.2,0.001959301194263691,-0.0190930761043307
4.21,0.0019571115997304303,-0.019077240355213566
4.22,0.001954936355633221,-0.019061296019443386
4.23,0.0019527749084134024,-0.01904524868358673
4.24,0.0019506267288901017,-0.019029103686623864
4.25,0.0019484913111832921,-0.01901286613088797
4.26,0.0019463681716844349,-0.01899654089252089
4.2700000000000005,0.0019442568480725964,-0.01898013263146715
4.28,0.0019421568983740336,-0.018963645801026417
4.29,0.0019400679000633274,-0.01894708465698367
4.3,0.0019379894492042278,-0.0189304532663364
4.3100000000000005,0.0019359211596284567,-0.01891375551563588
4.32,0.0019338626621507912,-0.01889699511896012
4.33,0.0019318136038188253,-0.018880175625534505
4.34,0.001929773647195876,-0.018863300427015874
4.3500000000000005,0.0019277424696755713,-0.018846372764454437
4.36,0.0019257197628267202,-0.01882939573494859
4.37,0.001923705231767126,-0.018812372298005343
4.38,0.0019216985945650644,-0.018795305281619965
4.39,0.0019196995816672042,-0.018778197388086816
4.4,0.0019177079353518037,-0.018761051199553753
4.41,0.0019157234092060634,-0.01874386918333084
4.42,0.00191374576762657,-0.018726653696964694
4.43,0.0019117747853418115,-0.018709406993088592
4.44,0.0019098102469557857,-0.01869213122405828
4.45,0.0019078519465117745,-0.01867482844638303
4.46,0.0019058996870753885,-0.018657500624960868
4.47,0.0019039532803360344,-0.01864014963712675
4.48,0.0019020125462259887,-0.018622777276521806
4.49,0.0019000773125563005,-0.018605385256791708
4.5,0.0018981474146687809,-0.018587975215121642
4.51,0.0018962226951033667,-0.01857054871561504
4.5200000000000005,0.001894303003280181,-0.018553107252523092
4.53,0.0018923881951956394,-0.018535652253331588
4.54,0.0018904781331319826,-0.018518185081711377
4.55,0.0018885726853796415,-0.018500707040338345
4.5600000000000005,0.0018866717259718691,-0.018483219373589075
4.57,0.0018847751344310952,-0.018465723270117126
4.58,0.001882882795526488,-0.01844821986531567
4.59,0.0018809945990422262,-0.01843071024367128
4.6000000000000005,0.0018791104395560086,-0.018413195441013695
4.61,0.0018772302162273502,-0.018395676446666218
4.62,0.0018753538325952295,-0.018378154205501138
4.63,0.0018734811963846778,-0.01836062961990426
4.64,0.0018716122193219117,-0.018343103551652765
4.65,0.0018697468169576335,-0.018325576823709958
4.66,0.0018678849084981391,-0.01830805022194082
4.67,0.001866026416643886,-0.01829052449675173
4.68,0.0018641712674351946,-0.01827300036465782
4.69,0.001862319390104765,-0.018255478509780956
4.7,0.0018604707169367113,-0.01823795958528158
4.71,0.0018586251831318222,-0.018220444214727387
4.72,0.0018567827266787753,-0.018202932993401377
4.73,0.0018549432882310406,-0.018185426489552264
4.74,0.0018531068109892224,-0.018167925245589533
4.75,0.0018512732405885999,-0.01815042977922575
4.76,0.0018494425249916352,-0.018132940584568408
4.7700000000000005,0.001847614614385231,-0.018115458133163495
4.78,0.0018457894610825274,-0.01809798287499299
4.79,0.0018439670194290365,-0.018080515239428274
4.8,0.0018421472457129245,-0.018063055636141478
4.8100000000000005,0.0018403300980792585,-0.018045604455976364
4.82,0.0018385155364480392,-0.018028162071781102
4.83,0.0018367035224358575,-0.01801072883920382
4.84,0.001834894019281011,-0.017993305097453297
4.8500000000000005,0.0018330869917719285,-0.017975891170026046
4.86,0.0018312824061787582,-0.017958487365401073
4.87,0.0018294802301879762,-0.017941093977704093
4.88,0.001827680432839885,-0.017923711287342433
4.89,0.001825882984468874,-0.01790633956161172
4.9,0.0018240878566463177,-0.01788897905527598
4.91,0.001822295022125998,-0.017871630011121856
4.92,0.0018205044547919358,-0.0178542926604886
4.93,0.0018187161296085305,-0.017836967223774463
4.94,0.0018169300225728986,-0.01781965391092078
4.95,0.0018151461106693208,-0.01780235292187468
4.96,0.0018133643718256994,-0.017785064447031335
4.97,0.0018115847848719415,-0.017767788667656586
4.98,0.001809807329500179,-0.017750525756291134
4.99,0.0018080319862267466,-0.017733275877136585
5.0,0.0018062587363558403,-0.017716039186424625
5.01,0.00180448756194478,-0.01769881583276985
5.0200000000000005,0.0018027184457708079,-0.017681605957506952
5.03,0.0018009513712993529,-0.017664409695013036
5.04,0.0017991863226536977,-0.017647227173015766
5.05,0.0017974232845859857,-0.017630058512887774
5.0600000000000005,0.0017956622424495081,-0.017612903829928146
5.07,0.0017939031821722165,-0.01759576323363144
5.08,0.0017921460902314047,-0.0175786368279448
5.09,0.0017903909536295093,-0.01756152471151384
5.1000000000000005,0.0017886377598709798,-0.017544426977917405
5.11,0.0017868864969401688,-0.017527343715892263
5.12,0.0017851371532802021,-0.017510275009547556
5.13,0.001783389717772779,-0.01749322093857014
5.14,0.0017816441797188667,-0.017476181578420437
5.15,0.0017799005288202476,-0.017459157000520073
5.16,0.0017781587551618807,-0.017442147272430788
5.17,0.0017764188491950434,-0.017425152458025804
5.18,0.0017746808017212172,-0.0174081726176534
5.19,0.001772944603876686,-0.017391207808293348
5.2,0.0017712102471178141,-0.01737425808370643
5.21,0.0017694777232069745,-0.01735732349457733
5.22,0.0017677470241990998,-0.017340404088651232
5.23,0.001766018142428826,-0.01732349991086435
5.24,0.001764291070498205,-0.017306611003468718
5.25,0.0017625658012649598,-0.017289737406151494
5.26,0.0017608423278312581,-0.017272879156148897
5.2700000000000005,0.0017591206435329826,-0.017256036288355238
